Ground,Margin,Match Date,Scorecard,Team 1,Team 2,Winner,Number of Records
Faisalabad,109 runs,27/02/1996,ODI # 1064,New Zealand,U.A.E.,New Zealand,1
Mumbai,16 runs,27/02/1996,ODI # 1065,India,Australia,Australia,1
Pune,73 runs,29/02/1996,ODI # 1066,Kenya,West Indies,Kenya,1
Karachi,5 wickets,29/02/1996,ODI # 1067,Pakistan,South Africa,South Africa,1
Nagpur,8 wickets,01/03/1996,ODI # 1068,Australia,Zimbabwe,Australia,1
Lahore,7 wickets,01/03/1996,ODI # 1069,Netherlands,U.A.E.,U.A.E.,1
Delhi,6 wickets,02/03/1996,ODI # 1070,India,Sri Lanka,Sri Lanka,1
Karachi,7 wickets,03/03/1996,ODI # 1071,Pakistan,England,Pakistan,1
Jaipur,4 wickets,04/03/1996,ODI # 1072,Australia,West Indies,West Indies,1
Rawalpindi,160 runs,05/03/1996,ODI # 1073,Netherlands,South Africa,South Africa,1
Kanpur,40 runs,06/03/1996,ODI # 1075,India,Zimbabwe,India,1
Kandy,144 runs,06/03/1996,ODI # 1074,Sri Lanka,Kenya,Sri Lanka,1
Lahore,46 runs,06/03/1996,ODI # 1076,Pakistan,New Zealand,Pakistan,1
Faisalabad,5 wickets,09/03/1996,ODI # 1077,England,Sri Lanka,Sri Lanka,1
Bengaluru,39 runs,09/03/1996,ODI # 1078,India,Pakistan,India,1
Karachi,19 runs,11/03/1996,ODI # 1079,South Africa,West Indies,West Indies,1
Chennai,6 wickets,11/03/1996,ODI # 1080,Australia,New Zealand,Australia,1
Kolkata,,13/03/1996,ODI # 1081,India,Sri Lanka,Sri Lanka,1
Mohali,5 runs,14/03/1996,ODI # 1082,Australia,West Indies,Australia,1
Lahore,7 wickets,17/03/1996,ODI # 1083,Australia,Sri Lanka,Sri Lanka,1
Lord's,8 wickets,14/05/1999,ODI # 1443,England,Sri Lanka,England,1
Hove,4 wickets,15/05/1999,ODI # 1444,India,South Africa,South Africa,1
Taunton,5 wickets,15/05/1999,ODI # 1445,Kenya,Zimbabwe,Zimbabwe,1
Worcester,6 wickets,16/05/1999,ODI # 1446,Australia,Scotland,Australia,1
Bristol,27 runs,16/05/1999,ODI # 1447,Pakistan,West Indies,Pakistan,1
Chelmsford,6 wickets,17/05/1999,ODI # 1448,Bangladesh,New Zealand,New Zealand,1
Canterbury,9 wickets,18/05/1999,ODI # 1449,England,Kenya,England,1
Leicester,3 runs,19/05/1999,ODI # 1450,India,Zimbabwe,Zimbabwe,1
Northampton,89 runs,19/05/1999,ODI # 1451,South Africa,Sri Lanka,South Africa,1
Cardiff,5 wickets,20/05/1999,ODI # 1452,Australia,New Zealand,New Zealand,1
Chester-le-Street,94 runs,20/05/1999,ODI # 1453,Pakistan,Scotland,Pakistan,1
Dublin,7 wickets,21/05/1999,ODI # 1454,Bangladesh,West Indies,West Indies,1
The Oval,122 runs,22/05/1999,ODI # 1455,England,South Africa,South Africa,1
Worcester,4 wickets,22/05/1999,ODI # 1456,Sri Lanka,Zimbabwe,Sri Lanka,1
Bristol,94 runs,23/05/1999,ODI # 1457,India,Kenya,India,1
Leeds,10 runs,23/05/1999,ODI # 1458,Australia,Pakistan,Pakistan,1
